order_id,seller_id,order_amount,commission_rate,commission_amount,refund_amount,net_payable,order_date
ORD-00041,SLR-02,2493.17,0.0800,199.45,0.00,2293.72,2026-08-04
ORD-00042,SLR-02,4059.68,0.1200,487.16,0.00,3572.52,2026-08-11
ORD-00043,SLR-02,4454.57,0.1500,668.19,0.00,3786.38,2026-08-14
ORD-00044,SLR-03,4591.74,0.2000,918.35,0.00,3673.39,2026-08-01
ORD-00045,SLR-03,130.91,0.1000,13.09,0.00,117.82,2026-08-16
ORD-00046,SLR-03,4574.52,0.2000,914.90,0.00,3659.62,2026-08-13
ORD-00047,SLR-03,2659.72,0.0800,212.78,0.00,2446.94,2026-08-08
ORD-00048,SLR-03,252.17,0.1200,30.26,0.00,221.91,2026-08-16
ORD-00049,SLR-03,3896.79,0.0800,311.74,0.00,3585.05,2026-08-13
ORD-00050,SLR-03,3362.41,0.1500,504.36,526.45,2331.60,2026-08-05
ORD-00051,SLR-03,540.12,0.1800,97.22,0.00,442.90,2026-08-01
ORD-00052,SLR-03,1052.78,0.0500,52.64,0.00,1000.14,2026-08-15
ORD-00053,SLR-03,1209.70,0.1200,145.16,0.00,1064.54,2026-08-11
ORD-00054,SLR-03,1558.86,0.2000,311.77,0.00,1247.09,2026-08-13
ORD-00055,SLR-03,1422.62,0.2000,284.52,22.70,1115.40,2026-08-14
ORD-00056,SLR-03,1934.80,0.0800,154.78,0.00,1780.02,2026-08-02
ORD-00057,SLR-03,4054.35,0.0500,202.72,0.00,3851.63,2026-08-02
ORD-00058,SLR-03,4499.97,0.0500,225.00,0.00,4274.97,2026-08-07
ORD-00059,SLR-03,761.76,0.1200,91.41,0.00,670.35,2026-08-08
ORD-00060,SLR-03,2538.11,0.1800,456.86,0.00,2081.25,2026-08-07
ORD-00061,SLR-03,979.69,0.1500,146.95,0.00,832.74,2026-08-12
ORD-00062,SLR-03,4177.86,0.2000,835.57,0.00,3342.29,2026-08-04
ORD-00063,SLR-03,666.74,0.1500,100.01,112.22,454.51,2026-08-10
ORD-00064,SLR-03,2179.61,0.1800,392.33,0.00,1787.28,2026-08-13
ORD-00065,SLR-03,634.25,0.1800,114.16,0.00,520.09,2026-08-08
ORD-00066,SLR-04,4034.65,0.1200,484.16,0.00,3550.49,2026-08-08
ORD-00067,SLR-04,1863.68,0.0500,93.18,0.00,1770.50,2026-08-13
ORD-00068,SLR-04,1053.36,0.1200,126.40,0.00,926.96,2026-08-11
ORD-00069,SLR-04,1884.35,0.1000,188.44,0.00,1695.91,2026-08-09
ORD-00070,SLR-04,3013.94,0.0500,150.70,0.00,2863.24,2026-08-09
ORD-00071,SLR-04,548.85,0.0800,43.91,0.00,504.94,2026-08-07
ORD-00072,SLR-04,3010.72,0.2000,602.14,0.00,2408.58,2026-08-16
ORD-00073,SLR-04,3486.39,0.1800,627.55,0.00,2858.84,2026-08-16
ORD-00074,SLR-04,587.86,0.1000,58.79,0.00,529.07,2026-08-01
ORD-00075,SLR-04,1705.40,0.1800,306.97,0.00,1398.43,2026-08-08
ORD-00076,SLR-04,3001.79,0.1500,450.27,0.00,2551.52,2026-08-16
ORD-00077,SLR-04,1944.50,0.1800,350.01,0.00,1594.49,2026-08-11
ORD-00078,SLR-04,1418.07,0.0800,113.45,0.00,1304.62,2026-08-10
ORD-00079,SLR-04,1754.38,0.0500,87.72,0.00,1666.66,2026-08-07
ORD-00080,SLR-04,1104.22,0.0800,88.34,0.00,1015.88,2026-08-06
ORD-00081,SLR-04,3898.91,0.1500,584.84,0.00,3314.07,2026-08-09
ORD-00082,SLR-04,627.04,0.2000,125.41,0.00,501.63,2026-08-10
ORD-00083,SLR-04,1992.05,0.0800,159.36,0.00,1832.69,2026-08-08
ORD-00084,SLR-04,1538.18,0.0500,76.91,0.00,1461.27,2026-08-05
ORD-00085,SLR-04,3756.47,0.0800,300.52,0.00,3455.95,2026-08-10
ORD-00086,SLR-04,637.85,0.2000,127.57,103.17,407.11,2026-08-16
ORD-00087,SLR-04,2609.84,0.1200,313.18,0.00,2296.66,2026-08-16
ORD-00088,SLR-04,1423.71,0.2000,284.74,0.00,1138.97,2026-08-02
ORD-00089,SLR-04,2200.86,0.1200,264.10,80.26,1856.50,2026-08-03
ORD-00090,SLR-05,4230.48,0.2000,846.10,0.00,3384.38,2026-08-09
ORD-00091,SLR-05,2328.95,0.0500,116.45,0.00,2212.50,2026-08-07
ORD-00092,SLR-05,4862.69,0.1000,486.27,0.00,4376.42,2026-08-05
ORD-00093,SLR-05,412.67,0.0800,33.01,0.00,379.66,2026-08-03
ORD-00094,SLR-05,2402.42,0.0500,120.12,0.00,2282.30,2026-08-13
ORD-00095,SLR-05,3768.61,0.1200,452.23,0.00,3316.38,2026-08-10
ORD-00096,SLR-05,2395.11,0.0500,119.76,0.00,2275.35,2026-08-16
ORD-00097,SLR-05,3951.07,0.1000,395.11,0.00,3555.96,2026-08-14
ORD-00098,SLR-05,578.81,0.0800,46.30,0.00,532.51,2026-08-01
ORD-00099,SLR-05,4109.54,0.1800,739.72,0.00,3369.82,2026-08-01
ORD-00100,SLR-05,4100.88,0.2000,820.18,0.00,3280.70,2026-08-02
ORD-00101,SLR-05,4902.85,0.1000,490.28,0.00,4412.57,2026-08-15
ORD-00102,SLR-05,3428.10,0.2000,685.62,0.00,2742.48,2026-08-14
ORD-00103,SLR-05,2564.20,0.1000,256.42,0.00,2307.78,2026-08-03
ORD-00104,SLR-05,3613.42,0.0500,180.67,0.00,3432.75,2026-08-11
ORD-00105,SLR-05,2258.20,0.1800,406.48,0.00,1851.72,2026-08-11
ORD-00106,SLR-05,4365.42,0.2000,873.08,0.00,3492.34,2026-08-13
ORD-00107,SLR-06,588.68,0.0800,47.09,0.00,541.59,2026-08-17
ORD-00108,SLR-06,2519.31,0.0500,125.97,0.00,2393.34,2026-08-04
ORD-00109,SLR-06,2712.92,0.1800,488.33,0.00,2224.59,2026-08-05
ORD-00110,SLR-06,2278.36,0.2000,455.67,0.00,1822.69,2026-08-09
ORD-00111,SLR-06,1377.85,0.1200,165.34,0.00,1212.51,2026-08-16
ORD-00112,SLR-06,1099.34,0.1500,164.90,0.00,934.44,2026-08-13
ORD-00113,SLR-06,4629.98,0.0500,231.50,0.00,4398.48,2026-08-05
ORD-00114,SLR-06,1881.92,0.2000,376.38,0.00,1505.54,2026-08-14
ORD-00115,SLR-06,1582.89,0.1800,284.92,0.00,1297.97,2026-08-01
ORD-00116,SLR-06,4636.45,0.0800,370.92,0.00,4265.53,2026-08-16
ORD-00117,SLR-06,1909.44,0.1000,190.94,0.00,1718.50,2026-08-16
ORD-00118,SLR-06,2487.31,0.1000,248.73,0.00,2238.58,2026-08-13
ORD-00119,SLR-06,3097.86,0.1200,371.74,0.00,2726.12,2026-08-08
ORD-00120,SLR-06,328.83,0.1000,32.88,0.00,295.95,2026-08-14
ORD-00121,SLR-06,2124.16,0.1800,382.35,0.00,1741.81,2026-08-13
ORD-00122,SLR-06,2696.94,0.0500,134.85,0.00,2562.09,2026-08-05
ORD-00123,SLR-06,4659.73,0.0500,232.99,0.00,4426.74,2026-08-11
ORD-00124,SLR-06,622.77,0.1500,93.42,0.00,529.35,2026-08-15
ORD-00125,SLR-06,3887.68,0.0800,311.01,0.00,3576.67,2026-08-01
ORD-00126,SLR-06,492.31,0.1200,59.08,0.00,433.23,2026-08-05
ORD-00127,SLR-06,1875.03,0.1500,281.25,0.00,1593.78,2026-08-09
ORD-00128,SLR-06,4565.70,0.1000,456.57,0.00,4109.13,2026-08-03
ORD-00129,SLR-06,1760.21,0.1800,316.84,0.00,1443.37,2026-08-13
ORD-00130,SLR-06,4673.79,0.1500,701.07,189.36,3783.36,2026-08-16
ORD-00131,SLR-06,3409.10,0.1800,613.64,0.00,2795.46,2026-08-08
ORD-00132,SLR-06,4015.20,0.0500,200.76,0.00,3814.44,2026-08-08
ORD-00133,SLR-06,4086.52,0.1800,735.57,0.00,3350.95,2026-08-04
ORD-00134,SLR-07,2099.44,0.1500,314.92,0.00,1784.52,2026-08-08
ORD-00135,SLR-07,3766.23,0.1000,376.62,1097.94,2291.67,2026-08-10
ORD-00136,SLR-07,1539.06,0.0500,76.95,0.00,1462.11,2026-08-13
ORD-00137,SLR-07,4874.25,0.1500,731.14,0.00,4143.11,2026-08-02
ORD-00138,SLR-07,4167.11,0.2000,833.42,0.00,3333.69,2026-08-10
ORD-00139,SLR-07,1248.21,0.1800,224.68,0.00,1023.53,2026-08-12
ORD-00140,SLR-07,3653.43,0.2000,730.69,0.00,2922.74,2026-08-09
ORD-00141,SLR-07,3393.82,0.0500,169.69,0.00,3224.13,2026-08-05
ORD-00142,SLR-07,1719.69,0.2000,343.94,0.00,1375.75,2026-08-02
ORD-00143,SLR-07,3939.67,0.0800,315.17,396.80,3227.70,2026-08-12
ORD-00144,SLR-07,4018.95,0.1200,482.27,0.00,3536.68,2026-08-11
ORD-00145,SLR-07,4223.59,0.1500,633.54,0.00,3590.05,2026-08-05
ORD-00146,SLR-07,2883.19,0.1500,432.48,0.00,2450.71,2026-08-12
ORD-00147,SLR-08,4411.83,0.1800,794.13,0.00,3617.70,2026-08-13
ORD-00148,SLR-08,3638.08,0.0800,291.05,0.00,3347.03,2026-08-04
ORD-00149,SLR-08,4898.57,0.1500,734.79,0.00,4163.78,2026-08-11
ORD-00150,SLR-08,3431.34,0.2000,686.27,0.00,2745.07,2026-08-03
ORD-00151,SLR-08,3503.88,0.1200,420.47,69.43,3013.98,2026-08-10
ORD-00152,SLR-08,1695.74,0.1200,203.49,163.87,1328.38,2026-08-02
ORD-00153,SLR-08,2137.62,0.1200,256.51,0.00,1881.11,2026-08-05
ORD-00154,SLR-08,3179.35,0.1800,572.28,0.00,2607.07,2026-08-14
ORD-00155,SLR-08,3533.67,0.0500,176.68,0.00,3356.99,2026-08-14
ORD-00156,SLR-08,1566.64,0.0500,78.33,0.00,1488.31,2026-08-14
ORD-00157,SLR-08,2424.60,0.1200,290.95,0.00,2133.65,2026-08-07
ORD-00158,SLR-08,620.90,0.1800,111.76,0.00,509.14,2026-08-12
ORD-00159,SLR-08,417.45,0.1200,50.09,0.00,367.36,2026-08-12
ORD-00160,SLR-08,4546.13,0.2000,909.23,0.00,3636.90,2026-08-04
ORD-00161,SLR-08,3464.37,0.1800,623.59,0.00,2840.78,2026-08-07
ORD-00162,SLR-08,365.17,0.2000,73.03,0.00,292.14,2026-08-01
ORD-00163,SLR-08,4226.03,0.1500,633.90,0.00,3592.13,2026-08-05
ORD-00164,SLR-08,3174.33,0.0800,253.95,0.00,2920.38,2026-08-07
ORD-00165,SLR-09,2469.81,0.1500,370.47,0.00,2099.34,2026-08-04
ORD-00166,SLR-09,3912.84,0.2000,782.57,0.00,3130.27,2026-08-02
ORD-00167,SLR-09,2501.46,0.1800,450.26,0.00,2051.20,2026-08-10
ORD-00168,SLR-09,2611.24,0.2000,522.25,0.00,2088.99,2026-08-02
ORD-00169,SLR-09,2670.42,0.1800,480.68,0.00,2189.74,2026-08-04
ORD-00170,SLR-09,4814.74,0.0500,240.74,0.00,4574.00,2026-08-03
ORD-00171,SLR-09,444.36,0.0800,35.55,0.00,408.81,2026-08-05
ORD-00172,SLR-09,2097.03,0.1500,314.55,0.00,1782.48,2026-08-11
ORD-00173,SLR-09,2750.54,0.1500,412.58,0.00,2337.96,2026-08-15
ORD-00174,SLR-09,4571.08,0.1800,822.79,0.00,3748.29,2026-08-04
ORD-00175,SLR-09,2354.80,0.1200,282.58,0.00,2072.22,2026-08-07
ORD-00176,SLR-09,1876.97,0.2000,375.39,0.00,1501.58,2026-08-14
ORD-00177,SLR-09,3925.27,0.0500,196.26,0.00,3729.01,2026-08-14
ORD-00178,SLR-09,3587.08,0.1000,358.71,0.00,3228.37,2026-08-11
ORD-00179,SLR-09,3700.92,0.1200,444.11,1100.22,2156.59,2026-08-05
ORD-00180,SLR-09,588.79,0.1200,70.65,132.10,386.04,2026-08-03
ORD-00181,SLR-09,3016.98,0.0500,150.85,0.00,2866.13,2026-08-06
ORD-00182,SLR-09,3612.79,0.0500,180.64,0.00,3432.15,2026-08-11
ORD-00183,SLR-09,4651.30,0.1800,837.23,764.00,3050.07,2026-08-14
ORD-00184,SLR-09,1943.63,0.0500,97.18,0.00,1846.45,2026-08-10
ORD-00185,SLR-09,911.23,0.1800,164.02,0.00,747.21,2026-08-07
ORD-00186,SLR-09,1935.60,0.2000,387.12,0.00,1548.48,2026-08-04
ORD-00187,SLR-09,4098.24,0.1000,409.82,0.00,3688.42,2026-08-04
ORD-00188,SLR-09,4531.04,0.1500,679.66,0.00,3851.38,2026-08-14
ORD-00189,SLR-09,3292.88,0.1800,592.72,0.00,2700.16,2026-08-01
ORD-00190,SLR-09,251.79,0.0800,20.14,0.00,231.65,2026-08-09
ORD-00191,SLR-10,140.30,0.0800,11.22,0.00,129.08,2026-08-02
ORD-00192,SLR-10,4123.12,0.0800,329.85,0.00,3793.27,2026-08-07
ORD-00193,SLR-10,1820.30,0.0500,91.02,499.56,1229.72,2026-08-10
ORD-00194,SLR-10,1021.14,0.0800,81.69,0.00,939.45,2026-08-14
ORD-00195,SLR-10,2722.81,0.1500,408.42,0.00,2314.39,2026-08-08
ORD-00196,SLR-10,477.88,0.1200,57.35,0.00,420.53,2026-08-12
ORD-00197,SLR-10,2387.04,0.0500,119.35,0.00,2267.69,2026-08-02
ORD-00198,SLR-10,4619.93,0.1000,461.99,0.00,4157.94,2026-08-03
ORD-00199,SLR-10,3819.81,0.1800,687.57,0.00,3132.24,2026-08-13
ORD-00200,SLR-10,2223.53,0.0500,111.18,0.00,2112.35,2026-08-04
ORD-00201,SLR-10,4301.23,0.1500,645.18,0.00,3656.05,2026-08-06
ORD-00202,SLR-10,562.05,0.1200,67.45,0.00,494.60,2026-08-12
ORD-00203,SLR-10,2384.19,0.1500,357.63,0.00,2026.56,2026-08-08
ORD-00204,SLR-10,2174.95,0.2000,434.99,0.00,1739.96,2026-08-03
ORD-00205,SLR-10,1261.67,0.1000,126.17,0.00,1135.50,2026-08-11
ORD-00206,SLR-10,2776.40,0.1800,499.75,678.40,1598.25,2026-08-03
ORD-00207,SLR-10,4849.64,0.2000,969.93,0.00,3879.71,2026-08-07
ORD-00208,SLR-10,1338.72,0.0500,66.94,0.00,1271.78,2026-08-05
ORD-00209,SLR-10,1009.63,0.1500,151.44,0.00,858.19,2026-08-07
ORD-00210,SLR-10,1028.75,0.2000,205.75,0.00,823.00,2026-08-03
ORD-00211,SLR-10,4055.46,0.1500,608.32,0.00,3447.14,2026-08-15
ORD-00212,SLR-10,3671.10,0.1500,550.66,0.00,3120.44,2026-08-15
ORD-00213,SLR-11,2847.62,0.1500,427.14,0.00,2420.48,2026-08-15
ORD-00214,SLR-11,2054.81,0.1000,205.48,0.00,1849.33,2026-08-12
ORD-00215,SLR-11,3659.37,0.1500,548.91,836.91,2273.55,2026-08-13
ORD-00216,SLR-11,445.56,0.1000,44.56,121.14,279.86,2026-08-11
ORD-00217,SLR-11,1589.74,0.1000,158.97,0.00,1430.77,2026-08-13
ORD-00218,SLR-11,1847.77,0.0500,92.39,0.00,1755.38,2026-08-05
ORD-00219,SLR-11,4906.39,0.1000,490.64,0.00,4415.75,2026-08-05
ORD-00220,SLR-11,776.07,0.1500,116.41,0.00,659.66,2026-08-13
ORD-00221,SLR-11,1723.10,0.1500,258.46,0.00,1464.64,2026-08-03
ORD-00222,SLR-11,4363.43,0.0800,349.07,0.00,4014.36,2026-08-11
ORD-00223,SLR-11,3487.03,0.1800,627.67,0.00,2859.36,2026-08-03
ORD-00224,SLR-11,195.58,0.1000,19.56,0.00,176.02,2026-08-12
ORD-00225,SLR-11,1891.66,0.2000,378.33,0.00,1513.33,2026-08-07
ORD-00226,SLR-11,821.23,0.0800,65.70,268.25,487.28,2026-08-08
ORD-00227,SLR-11,2761.75,0.2000,552.35,0.00,2209.40,2026-08-04
ORD-00228,SLR-11,3570.41,0.1000,357.04,0.00,3213.37,2026-08-02
ORD-00229,SLR-11,3231.29,0.1200,387.75,0.00,2843.54,2026-08-09
ORD-00230,SLR-11,4458.64,0.1800,802.56,0.00,3656.08,2026-08-06
ORD-00231,SLR-11,3881.07,0.1200,465.73,487.49,2927.85,2026-08-06
ORD-00232,SLR-11,2428.88,0.1500,364.33,0.00,2064.55,2026-08-08
ORD-00233,SLR-11,1326.84,0.1500,199.03,0.00,1127.81,2026-08-15
ORD-00234,SLR-11,4839.42,0.2000,967.88,0.00,3871.54,2026-08-16
ORD-00235,SLR-11,2520.53,0.2000,504.11,0.00,2016.42,2026-08-15
ORD-00236,SLR-11,2736.67,0.1500,410.50,0.00,2326.17,2026-08-13
ORD-00237,SLR-12,1441.77,0.0800,115.34,0.00,1326.43,2026-08-01
ORD-00238,SLR-12,682.93,0.2000,136.59,0.00,546.34,2026-08-14
ORD-00239,SLR-12,738.83,0.0500,36.94,0.00,701.89,2026-08-10
ORD-00240,SLR-12,429.29,0.0500,21.46,0.00,407.83,2026-08-15
ORD-00241,SLR-12,3228.63,0.1500,484.29,685.51,2058.83,2026-08-16
ORD-00242,SLR-12,3867.24,0.0800,309.38,0.00,3557.86,2026-08-08
ORD-00243,SLR-12,3323.37,0.1000,332.34,0.00,2991.03,2026-08-01
ORD-00244,SLR-12,1082.06,0.1800,194.77,0.00,887.29,2026-08-14
ORD-00245,SLR-12,454.83,0.1500,68.22,0.00,386.61,2026-08-12
ORD-00246,SLR-12,2147.10,0.2000,429.42,0.00,1717.68,2026-08-01
ORD-00247,SLR-12,2057.17,0.1000,205.72,0.00,1851.45,2026-08-13
ORD-00248,SLR-12,4234.11,0.0500,211.71,0.00,4022.40,2026-08-12
ORD-00249,SLR-13,1600.04,0.1000,160.00,0.00,1440.04,2026-08-07
ORD-00250,SLR-13,4639.27,0.1800,835.07,0.00,3804.20,2026-08-02
ORD-00251,SLR-13,4290.85,0.1000,429.08,0.00,3861.77,2026-08-04
ORD-00252,SLR-13,3997.07,0.1200,479.65,0.00,3517.42,2026-08-13
ORD-00253,SLR-13,1877.52,0.0800,150.20,0.00,1727.32,2026-08-13
ORD-00254,SLR-13,2025.95,0.2000,405.19,0.00,1620.76,2026-08-16
ORD-00255,SLR-13,3912.00,0.1200,469.44,799.64,2642.92,2026-08-03
ORD-00256,SLR-13,2959.85,0.1000,295.98,0.00,2663.87,2026-08-06
ORD-00257,SLR-13,1819.24,0.1800,327.46,0.00,1491.78,2026-08-03
ORD-00258,SLR-13,3259.47,0.1800,586.70,0.00,2672.77,2026-08-15
ORD-00259,SLR-13,1943.11,0.1200,233.17,580.18,1129.76,2026-08-17
ORD-00260,SLR-13,3323.59,0.1200,398.83,0.00,2924.76,2026-08-12
ORD-00261,SLR-13,493.43,0.1800,88.82,0.00,404.61,2026-08-02
ORD-00262,SLR-13,2790.04,0.2000,558.01,0.00,2232.03,2026-08-12
ORD-00263,SLR-13,263.26,0.0800,21.06,0.00,242.20,2026-08-06
ORD-00264,SLR-13,282.44,0.0800,22.60,70.01,189.83,2026-08-15
ORD-00265,SLR-13,2107.25,0.1500,316.09,211.11,1580.05,2026-08-12
ORD-00266,SLR-13,2044.92,0.1000,204.49,0.00,1840.43,2026-08-15
ORD-00267,SLR-13,3109.00,0.0800,248.72,0.00,2860.28,2026-08-03
ORD-00268,SLR-13,1748.28,0.1800,314.69,0.00,1433.59,2026-08-13
ORD-00269,SLR-13,235.86,0.1800,42.45,0.00,193.41,2026-08-04
ORD-00270,SLR-13,4889.59,0.1500,733.44,692.33,3463.82,2026-08-13
ORD-00271,SLR-13,1224.96,0.1500,183.74,0.00,1041.22,2026-08-15
ORD-00272,SLR-13,1149.51,0.0500,57.48,0.00,1092.03,2026-08-16
ORD-00273,SLR-13,2470.00,0.0800,197.60,0.00,2272.40,2026-08-03
ORD-00274,SLR-13,560.27,0.2000,112.05,0.00,448.22,2026-08-15
ORD-00275,SLR-13,3601.40,0.1000,360.14,0.00,3241.26,2026-08-11
ORD-00276,SLR-13,4773.14,0.1000,477.31,0.00,4295.83,2026-08-10
ORD-00277,SLR-13,4261.25,0.1000,426.12,0.00,3835.13,2026-08-06
ORD-00278,SLR-13,1153.71,0.2000,230.74,0.00,922.97,2026-08-04
ORD-00279,SLR-14,1413.89,0.0800,113.11,0.00,1300.78,2026-08-03
ORD-00280,SLR-14,756.25,0.1800,136.12,0.00,620.13,2026-08-09
ORD-00281,SLR-14,2734.93,0.1800,492.29,0.00,2242.64,2026-08-03
ORD-00282,SLR-14,997.58,0.1800,179.56,0.00,818.02,2026-08-05
ORD-00283,SLR-14,4517.28,0.1500,677.59,84.37,3755.32,2026-08-11
ORD-00284,SLR-14,338.35,0.1800,60.90,0.00,277.45,2026-08-03
ORD-00285,SLR-14,3513.79,0.0800,281.10,0.00,3232.69,2026-08-09
ORD-00286,SLR-14,3340.66,0.1800,601.32,832.03,1907.31,2026-08-14
ORD-00287,SLR-14,3465.44,0.1000,346.54,0.00,3118.90,2026-08-10
ORD-00288,SLR-14,1659.41,0.1200,199.13,49.26,1411.02,2026-08-13
ORD-00289,SLR-14,2404.79,0.1200,288.57,0.00,2116.22,2026-08-06
ORD-00290,SLR-14,1883.58,0.1500,282.54,0.00,1601.04,2026-08-07
ORD-00291,SLR-14,3949.32,0.2000,789.86,0.00,3159.46,2026-08-11
ORD-00292,SLR-14,785.59,0.2000,157.12,0.00,628.47,2026-08-13
ORD-00293,SLR-14,1773.08,0.0800,141.85,0.00,1631.23,2026-08-04
ORD-00294,SLR-14,2457.17,0.0800,196.57,0.00,2260.60,2026-08-09
ORD-00295,SLR-14,1621.54,0.1200,194.58,0.00,1426.96,2026-08-02
ORD-00296,SLR-14,1401.65,0.2000,280.33,0.00,1121.32,2026-08-14
ORD-00297,SLR-14,4995.54,0.1500,749.33,0.00,4246.21,2026-08-11
ORD-00298,SLR-15,2125.58,0.1500,318.84,0.00,1806.74,2026-08-03
ORD-00299,SLR-15,4427.00,0.1500,664.05,0.00,3762.95,2026-08-09
ORD-00300,SLR-15,774.56,0.0500,38.73,0.00,735.83,2026-08-04
ORD-00301,SLR-15,3024.64,0.1000,302.46,0.00,2722.18,2026-08-11
ORD-00302,SLR-15,3258.64,0.1500,488.80,0.00,2769.84,2026-08-07
ORD-00303,SLR-15,337.52,0.0500,16.88,0.00,320.64,2026-08-05
ORD-00304,SLR-15,4315.09,0.1200,517.81,0.00,3797.28,2026-08-11
ORD-00305,SLR-15,3278.55,0.1500,491.78,0.00,2786.77,2026-08-05
ORD-00306,SLR-15,951.97,0.1200,114.24,0.00,837.73,2026-08-11
ORD-00307,SLR-15,3212.82,0.1000,321.28,0.00,2891.54,2026-08-10
ORD-00308,SLR-15,3815.83,0.1500,572.37,0.00,3243.46,2026-08-16
ORD-00309,SLR-15,2031.25,0.1000,203.12,0.00,1828.13,2026-08-01
ORD-00310,SLR-15,3160.28,0.1000,316.03,0.00,2844.25,2026-08-14
ORD-00311,SLR-15,3229.52,0.1200,387.54,0.00,2841.98,2026-08-01
ORD-00312,SLR-15,3882.21,0.0500,194.11,0.00,3688.10,2026-08-08
ORD-00313,SLR-15,2848.48,0.1800,512.73,0.00,2335.75,2026-08-06
ORD-00314,SLR-15,874.77,0.2000,174.95,0.00,699.82,2026-08-13
ORD-00315,SLR-15,3101.91,0.1800,558.34,34.82,2508.75,2026-08-02
ORD-00316,SLR-15,1744.65,0.1200,209.36,0.00,1535.29,2026-08-15
ORD-00317,SLR-16,1278.95,0.1000,127.90,0.00,1151.05,2026-08-10
ORD-00318,SLR-16,3718.84,0.1800,669.39,0.00,3049.45,2026-08-07
ORD-00319,SLR-16,1928.73,0.1500,289.31,0.00,1639.42,2026-08-16
ORD-00320,SLR-16,1608.84,0.0500,80.44,0.00,1528.40,2026-08-09
ORD-00321,SLR-16,4796.36,0.1200,575.56,0.00,4220.80,2026-08-13
ORD-00322,SLR-16,1622.80,0.0500,81.14,0.00,1541.66,2026-08-05
ORD-00323,SLR-16,1915.94,0.1200,229.91,0.00,1686.03,2026-08-07
ORD-00324,SLR-16,1221.90,0.0800,97.75,0.00,1124.15,2026-08-16
ORD-00325,SLR-16,4991.73,0.1500,748.76,0.00,4242.97,2026-08-09
ORD-00326,SLR-16,672.66,0.1500,100.90,0.00,571.76,2026-08-05
