payout_id,seller_id,payout_amount,payout_date,utr
PYT-00040,SLR-06,13266.97,2026-08-14,UTR111453993673
PYT-00041,SLR-06,2872.43,2026-08-15,UTR482016878181
PYT-00042,SLR-06,7196.54,2026-08-17,UTR377842780911
PYT-00043,SLR-06,3762.61,2026-08-16,UTR631946025298
PYT-00044,SLR-07,1975.84,2026-08-06,UTR228008204060
PYT-00045,SLR-07,1382.87,2026-08-05,UTR846723617943
PYT-00046,SLR-07,17040.30,2026-08-10,UTR713341033639
PYT-00047,SLR-07,6851.88,2026-08-13,UTR387822589021
PYT-00048,SLR-07,7140.52,2026-08-14,UTR923228529421
PYT-00049,SLR-08,11349.52,2026-08-04,UTR245975318262
PYT-00050,SLR-08,13368.05,2026-08-07,UTR826321603086
PYT-00051,SLR-08,4163.78,2026-08-12,UTR966681384799
PYT-00052,SLR-08,876.50,2026-08-12,UTR388511190574
PYT-00053,SLR-08,3617.70,2026-08-14,UTR226813571724
PYT-00054,SLR-08,7452.37,2026-08-15,UTR498478548963
PYT-00055,SLR-09,2700.16,2026-08-01,UTR823986836311
PYT-00056,SLR-09,10179.30,2026-08-03,UTR920732849790
PYT-00057,SLR-09,13274.27,2026-08-05,UTR475610548583
PYT-00058,SLR-09,2565.40,2026-08-06,UTR755272824750
PYT-00059,SLR-09,2866.13,2026-08-05,UTR188794019516
PYT-00060,SLR-09,3030.06,2026-08-11,UTR767805832031
PYT-00061,SLR-09,10289.45,2026-08-11,UTR665883171878
PYT-00062,SLR-09,3729.01,2026-08-14,UTR844245876540
PYT-00063,SLR-09,9239.41,2026-08-16,UTR340713234664
PYT-00064,SLR-10,6554.71,2026-08-03,UTR587345305175
PYT-00065,SLR-10,11338.61,2026-08-08,UTR162669670656
PYT-00066,SLR-10,7052.29,2026-08-09,UTR595904407913
PYT-00067,SLR-10,2026.56,2026-08-09,UTR808999160978
PYT-00068,SLR-10,1229.72,2026-08-11,UTR737642491247
PYT-00069,SLR-10,2557.89,2026-08-14,UTR992962570107
PYT-00070,SLR-10,6122.32,2026-08-15,UTR622289523089
PYT-00071,SLR-10,742.64,2026-08-16,UTR477258662365
PYT-00072,SLR-10,3120.44,2026-08-15,UTR370751053808
PYT-00073,SLR-11,11502.15,2026-08-06,UTR804598747085
PYT-00074,SLR-11,10940.80,2026-08-07,UTR937878863625
PYT-00075,SLR-11,2551.83,2026-08-08,UTR580310688331
PYT-00076,SLR-11,2273.55,2026-08-11,UTR129766150285
PYT-00077,SLR-11,6319.57,2026-08-13,UTR521919454119
PYT-00078,SLR-11,1430.77,2026-08-13,UTR816034202609
PYT-00079,SLR-11,5399.75,2026-08-15,UTR618959874397
PYT-00080,SLR-11,6992.40,2026-08-17,UTR106937867936
PYT-00081,SLR-12,1315.97,2026-08-02,UTR486737476962
PYT-00082,SLR-12,9355.07,2026-08-12,UTR958264962544
PYT-00083,SLR-12,1155.66,2026-08-16,UTR249514244073
PYT-00084,SLR-12,4015.89,2026-08-13,UTR320303658363
PYT-00085,SLR-12,528.42,2026-08-14,UTR443311214228
PYT-00086,SLR-12,3353.95,2026-08-17,UTR139742680014
PYT-00087,SLR-13,11203.79,2026-08-03,UTR169089769417
PYT-00088,SLR-13,6327.58,2026-08-05,UTR553229411741
PYT-00089,SLR-13,7654.04,2026-08-06,UTR452068690122
PYT-00090,SLR-13,16593.91,2026-08-14,UTR669856728937
PYT-00091,SLR-13,7570.18,2026-08-15,UTR573000594905
PYT-00092,SLR-13,4429.79,2026-08-16,UTR281694831414
PYT-00093,SLR-13,1092.03,2026-08-16,UTR670976835204
PYT-00094,SLR-14,2814.93,2026-08-05,UTR438783050311
PYT-00095,SLR-14,6601.61,2026-08-05,UTR604682041068
PYT-00096,SLR-14,2934.24,2026-08-07,UTR151748592655
PYT-00097,SLR-14,5453.86,2026-08-10,UTR689637799519
PYT-00098,SLR-14,2250.12,2026-08-10,UTR391552927358
PYT-00099,SLR-14,16319.38,2026-08-14,UTR148816329217
PYT-00100,SLR-14,3028.63,2026-08-14,UTR707147416489
PYT-00101,SLR-15,7200.09,2026-08-04,UTR458891275909
PYT-00102,SLR-15,18234.95,2026-08-11,UTR603254986487
PYT-00103,SLR-15,11736.73,2026-08-16,UTR949011390738
PYT-00104,SLR-15,3243.46,2026-08-16,UTR374694672472
PYT-00105,SLR-16,5357.81,2026-08-05,UTR644550144444
PYT-00106,SLR-16,3133.97,2026-08-09,UTR724051842709
PYT-00107,SLR-16,11145.25,2026-08-11,UTR599438389318
PYT-00108,SLR-16,11496.44,2026-08-16,UTR657706054926
PYT-00109,SLR-17,3565.79,2026-08-02,UTR124581300799
PYT-00110,SLR-17,5509.44,2026-08-07,UTR339426407161
PYT-00111,SLR-17,11926.45,2026-08-09,UTR870278886192
PYT-00112,SLR-17,772.21,2026-08-09,UTR619406611023
PYT-00113,SLR-17,3533.14,2026-08-10,UTR249331597922
PYT-00114,SLR-17,2163.25,2026-08-14,UTR591269009200
PYT-00115,SLR-17,8916.28,2026-08-12,UTR230342679193
PYT-00116,SLR-17,2972.65,2026-08-14,UTR899410868608
PYT-00117,SLR-17,4173.56,2026-08-13,UTR840722961506
PYT-00118,SLR-17,12123.46,2026-08-16,UTR603574229747
PYT-00119,SLR-18,11201.81,2026-08-03,UTR181061582626
PYT-00120,SLR-18,1612.07,2026-08-05,UTR468967896485
PYT-00121,SLR-18,1310.48,2026-08-08,UTR310183500752
PYT-00122,SLR-18,15887.74,2026-08-09,UTR370215467820
PYT-00123,SLR-18,12121.83,2026-08-16,UTR706618307372
PYT-00124,SLR-19,2704.62,2026-08-02,UTR779429174674
PYT-00125,SLR-19,11778.79,2026-08-11,UTR973026512093
PYT-00126,SLR-19,4440.20,2026-08-13,UTR720446670928
PYT-00127,SLR-19,1772.73,2026-08-14,UTR189540907419
PYT-00128,SLR-19,690.21,2026-08-16,UTR518352484747
PYT-00129,SLR-19,5234.37,2026-08-15,UTR111324746755
PYT-00130,SLR-19,4730.82,2026-08-17,UTR961763314712
PYT-00131,SLR-19,3327.38,2026-08-16,UTR683663683937
PYT-00132,SLR-20,3605.93,2026-08-04,UTR638806010341
PYT-00133,SLR-20,4526.36,2026-08-08,UTR303718235716
PYT-00134,SLR-20,12916.14,2026-08-16,UTR781921266516
